,AGE,EDUCATION_LEVEL,MARITAL_STATUS,NO_OF_KIDS,OCCUPATION_CATEGORY,INCOME,RISK_LEVEL,SPENDING_VS_INCOME,SPENDING_LEVEL,NETWORTH,RISK_TOLERANCE
0,47,high_school,married,0,Senior_level,56443.744181,3,spends_more,5,352641.7113,6.947438694505888
1,47,high_school,married,0,Senior_level,56443.744181,3,spends_more,5,340525.21881,6.22315796729084
2,47,high_school,married,0,Senior_level,56443.744181,3,spends_more,5,348696.08426,6.676708619334256
3,47,high_school,married,0,Senior_level,56443.744181,3,spends_more,5,351802.8772,6.286853691736365
4,47,high_school,married,0,Senior_level,56443.744181,3,spends_more,5,358958.85696,6.177016387618512
5,61,Bachelors/degree,married,1,Senior_level,172526.16146,2,spends_less,3,6098634.5526,1.1334190032310274
6,61,Bachelors/degree,married,1,Senior_level,173591.13776,2,spends_less,3,6108990.5291,1.131978782774573
7,61,Bachelors/degree,married,1,Senior_level,173591.13776,2,spends_less,3,6114686.3161,1.131978782774573
8,61,Bachelors/degree,married,1,Senior_level,173591.13776,2,spends_less,3,6103812.5408,1.1350959322091896
9,61,Bachelors/degree,married,1,Senior_level,173591.13776,2,spends_less,3,6116239.7126,1.131930994264407
10,65,Masters/phd,married,0,Junior_level,55378.767875,3,spends_less,1,1024620.3135,0.6219002720400262
11,65,Masters/phd,married,0,Junior_level,55378.767875,3,spends_less,1,2091285.8916,0.6219002720400262
12,65,Masters/phd,married,0,Junior_level,54313.79157,3,spends_less,1,1449215.3494,0.6211282995954598
13,65,Masters/phd,married,0,Junior_level,55378.767875,3,spends_less,1,1894418.7786,0.6230114865654521
14,65,Masters/phd,married,0,Junior_level,54313.79157,3,spends_less,1,1677046.8321,0.6211282995954598
15,43,high_school,married,2,mid_level,26624.407632,4,spends_more,5,173271.02057,14.924390552193264
16,43,high_school,married,2,mid_level,26624.407632,4,spends_more,5,94581.133246,14.923955893688968
17,43,high_school,married,2,mid_level,26624.407632,4,spends_more,5,105351.34879,14.923955893688968
18,43,high_school,married,2,mid_level,26624.407632,4,spends_more,5,211163.53854,14.924390552193264
19,43,high_school,married,2,mid_level,26624.407632,4,spends_more,5,72916.430438,14.923955893688968
20,69,Masters/phd,married,0,mid_level,1042611.8029,3,spends_less,2,25066641.084,0.6562522321935874
21,69,Masters/phd,married,0,mid_level,1052196.5896,3,spends_less,2,24531237.1,0.6567550573145285
22,69,Masters/phd,married,0,mid_level,1088405.784,3,spends_less,2,25657967.342,0.6588765721625952
23,69,Masters/phd,married,0,mid_level,1039416.874,3,spends_less,2,24079716.525,0.6560233878589496
24,69,Masters/phd,married,0,mid_level,1046871.7081,3,spends_less,2,26288646.31,0.6564961092048065
25,44,Masters/phd,married,0,Senior_level,150161.65905,3,spends_less,4,275572.53429,54.58471757112531
26,44,Masters/phd,married,0,Senior_level,150161.65905,3,spends_less,4,277643.72959,54.764307527169294
27,44,Masters/phd,married,0,Senior_level,150161.65905,3,spends_less,4,275572.53429,54.764307527169294
28,44,Masters/phd,married,0,Senior_level,150161.65905,3,spends_less,4,275572.53429,54.764307527169294
29,44,Masters/phd,married,0,Senior_level,150161.65905,3,spends_less,4,277643.72959,54.58471757112531
30,39,Masters/phd,married,2,Senior_level,130992.08555,2,spends_more,5,197074.23253,32.54570513436867
31,39,Masters/phd,married,2,Senior_level,130992.08555,2,spends_more,5,203702.05748,32.17474351631037
32,46,Masters/phd,married,2,Senior_level,227904.92933,2,spends_less,4,436918.64794,16.812929262564346
33,46,Masters/phd,married,2,Senior_level,227904.92933,2,spends_less,4,465501.14304,16.812929262564346
34,46,Masters/phd,married,2,Senior_level,227904.92933,2,spends_less,4,444789.19007,16.812929262564346
35,46,Masters/phd,married,2,Senior_level,227904.92933,2,spends_less,4,433501.1757,16.812929262564346
36,46,Masters/phd,married,2,Senior_level,227904.92933,2,spends_less,4,440646.79948,16.812929262564346
37,67,Masters/phd,married,0,Junior_level,303518.24701,3,spends_less,5,20967745.591,0.8487979858264256
38,67,Masters/phd,married,0,Junior_level,303518.24701,3,spends_less,5,20966709.993,0.8487979858264256
39,67,Masters/phd,married,0,Junior_level,303518.24701,3,spends_less,5,20966709.993,0.8487979858264256
40,67,Masters/phd,married,0,Junior_level,303518.24701,3,spends_less,5,20967745.591,0.8487979858264256
41,67,Masters/phd,married,0,Junior_level,303518.24701,3,spends_less,5,20966709.993,0.8487979858264256
42,35,Masters/phd,married,2,Senior_level,75613.317676,2,spends_less,4,261695.5258,33.33911430380813
43,35,Masters/phd,married,2,Senior_level,78808.246592,2,spends_less,4,326109.69954,32.74417114259198
44,35,Masters/phd,married,2,Senior_level,76678.293981,2,spends_less,4,261695.5258,33.440861176369594
45,35,Masters/phd,married,2,Senior_level,76678.293981,2,spends_less,4,267909.11169,33.81234597746968
46,35,Masters/phd,married,2,Senior_level,76678.293981,2,spends_less,4,319274.75506,32.078912704717666
