iter	RMSE
0	15.31640661
1	14.88003113
2	14.4384098
3	14.04396547
4	13.65984569
5	13.28219921
6	12.94266423
7	12.61438931
8	12.2985302
9	12.00380454
10	11.7343797
11	11.49765314
12	11.26234619
13	11.04080052
14	10.82347051
15	10.62965292
16	10.44495711
17	10.24876237
18	10.07009304
19	9.905511916
20	9.744265165
21	9.602827837
22	9.478553432
23	9.339572422
24	9.205908866
25	9.088096556
26	8.967185221
27	8.866896315
28	8.759651847
29	8.65859063
30	8.563149857
31	8.47474456
32	8.396263044
33	8.305538505
34	8.226852482
35	8.148615208
36	8.069631204
37	7.996630593
38	7.936981654
39	7.876835839
40	7.817022687
41	7.760634028
42	7.705705614
43	7.652879928
44	7.605429462
45	7.559620816
46	7.517464809
47	7.475172414
48	7.438515418
49	7.392738284
50	7.346258793
51	7.313089529
52	7.259083123
53	7.221939629
54	7.1920731
55	7.159410353
56	7.13708608
57	7.111373987
58	7.081136884
59	7.052531405
60	7.027596119
61	7.004377291
62	6.972758683
63	6.931568793
64	6.911914745
65	6.889634868
66	6.850985675
67	6.818430526
68	6.791013543
69	6.758099233
70	6.72973733
71	6.702692418
72	6.679419627
73	6.659574858
74	6.643963358
75	6.627683754
76	6.601039042
77	6.571210349
78	6.555850572
79	6.524201932
80	6.511325039
81	6.488977402
82	6.468917315
83	6.457605511
84	6.434397778
85	6.411213147
86	6.394766754
87	6.371994938
88	6.359413627
89	6.342059816
90	6.325222884
91	6.30004849
92	6.279806537
93	6.270192674
94	6.241960824
95	6.224003099
96	6.207018309
97	6.193399117
98	6.173874635
99	6.158232371
100	6.140033621
101	6.117216175
102	6.106784038
103	6.094176536
104	6.075000775
105	6.063847946
106	6.045787887
107	6.030018463
108	6.017697511
109	5.992352232
110	5.976832872
111	5.950535798
112	5.932531269
113	5.920700806
114	5.912467027
115	5.900978717
116	5.891133802
117	5.875547071
118	5.867146651
119	5.854887667
120	5.835591344
121	5.825928788
122	5.803809714
123	5.795007253
124	5.775907285
125	5.769556691
126	5.753325869
127	5.744189683
128	5.727537913
129	5.71899244
130	5.711236787
131	5.690876074
132	5.680267892
133	5.669151172
134	5.637877982
135	5.625455948
136	5.612278777
137	5.605942087
138	5.595119156
139	5.587332828
140	5.581572411
141	5.565122337
142	5.554310285
143	5.544867359
144	5.536689553
145	5.524063146
146	5.515478331
147	5.497606795
148	5.489334432
149	5.476477253
150	5.468649103
151	5.466507476
152	5.443574387
153	5.429901284
154	5.415400347
155	5.408440341
156	5.399701215
157	5.387417607
158	5.379109337
159	5.37323122
160	5.353213584
161	5.345363158
162	5.339861723
163	5.331731301
164	5.314017745
165	5.309683615
166	5.3010697
167	5.289842221
168	5.279989687
169	5.269444512
170	5.262603389
171	5.247483953
172	5.241288485
173	5.227686576
174	5.221489552
175	5.210755827
176	5.206494888
177	5.200627386
178	5.183528536
179	5.179542649
180	5.174199167
181	5.160364885
182	5.15492833
183	5.144751387
184	5.119050153
185	5.113938906
186	5.107326491
187	5.094449507
188	5.08613499
189	5.078916018
190	5.06362194
191	5.057572588
192	5.043081531
193	5.034093885
194	5.026182454
195	5.020712028
196	5.016398044
197	5.011666398
198	4.997109719
199	4.992794627
200	4.980728721
201	4.971458657
202	4.959887478
203	4.948969027
204	4.943198758
205	4.934297917
206	4.925872141
207	4.91277312
208	4.908181657
209	4.894412704
210	4.884414524
211	4.871008022
212	4.861404369
213	4.856387036
214	4.842799626
215	4.836360977
216	4.832418538
217	4.827441366
218	4.81980198
219	4.814426817
220	4.807186678
221	4.800070277
222	4.795574373
223	4.788545652
224	4.781730897
225	4.777290152
226	4.770884403
227	4.76521024
228	4.759015013
229	4.747224833
230	4.74176019
231	4.731985436
232	4.723546862
233	4.716972313
234	4.706987161
235	4.701745908
236	4.692295127
237	4.684710042
238	4.679006733
239	4.671739691
240	4.664921947
241	4.659087143
242	4.64269562
243	4.636598739
244	4.630787635
245	4.614381869
246	4.601272337
247	4.596475923
248	4.58301897
249	4.574321306
250	4.565885104
251	4.561605164
252	4.555484976
253	4.548404145
254	4.541065202
255	4.531963339
256	4.526136075
257	4.520098988
258	4.515137237
259	4.504923778
260	4.500655654
261	4.490394534
262	4.483719998
263	4.476333455
264	4.470039257
265	4.463203347
266	4.453139958
267	4.439866521
268	4.433128304
269	4.424072728
270	4.415840222
271	4.408940993
272	4.39965529
273	4.387436821
274	4.382281138
275	4.377626102
276	4.372777646
277	4.367177624
278	4.364562122
279	4.356430576
280	4.34984557
281	4.338471917
282	4.333562612
283	4.324575831
284	4.318861442
285	4.311280291
286	4.303939551
287	4.295798984
288	4.286775912
289	4.282019061
290	4.271048135
291	4.260787747
292	4.25626408
293	4.250667818
294	4.243003726
295	4.238824316
296	4.232906357
297	4.220476345
298	4.216179412
299	4.21050058
300	4.202899198
301	4.194229257
302	4.187723973
303	4.183893703
304	4.178452683
305	4.169468188
306	4.16545626
307	4.162501921
308	4.156949756
309	4.149799082
310	4.144522237
