iter	Passed	Remaining
0	64	64190
1	67	33773
2	69	22963
3	70	17531
4	71	14285
5	73	12116
6	74	10569
7	75	9397
8	77	8523
9	78	7789
10	79	7192
11	83	6886
12	85	6457
13	86	6078
14	87	5754
15	88	5470
16	90	5214
17	91	4992
18	92	4800
19	94	4628
20	95	4472
21	97	4354
22	99	4214
23	100	4104
24	102	3996
25	104	3896
26	106	3841
27	108	3761
28	109	3669
29	110	3586
30	114	3570
31	115	3501
32	117	3435
33	118	3379
34	120	3319
35	122	3269
36	123	3214
37	125	3168
38	129	3186
39	130	3138
40	132	3090
41	134	3059
42	135	3019
43	138	3009
44	139	2968
45	141	2927
46	142	2891
47	146	2899
48	149	2893
49	151	2877
50	153	2850
51	154	2823
52	156	2797
53	160	2816
54	162	2788
55	163	2761
56	165	2735
57	167	2714
58	168	2690
59	170	2668
60	171	2645
61	175	2661
62	179	2668
63	180	2644
64	182	2625
65	184	2604
66	185	2585
67	187	2566
68	193	2607
69	197	2621
70	200	2624
71	202	2604
72	203	2586
73	208	2612
74	210	2592
75	211	2575
76	214	2569
77	217	2566
78	221	2584
79	223	2564
80	224	2546
81	226	2530
82	227	2513
83	230	2509
84	231	2494
85	233	2480
86	237	2493
87	239	2478
88	240	2465
89	242	2451
90	244	2439
91	246	2430
92	247	2416
93	249	2403
94	253	2417
95	255	2406
96	257	2396
97	259	2384
98	260	2372
99	262	2362
100	264	2351
101	268	2364
102	272	2373
103	275	2374
104	277	2367
105	279	2358
106	281	2348
107	284	2348
108	287	2346
109	289	2343
110	292	2340
111	294	2331
112	295	2320
113	297	2310
114	301	2321
115	303	2310
116	304	2299
117	306	2289
118	308	2280
119	309	2270
120	311	2260
121	312	2250
122	316	2256
123	317	2246
124	319	2237
125	321	2228
126	322	2218
127	324	2210
128	326	2201
129	327	2194
130	331	2202
131	333	2193
132	335	2184
133	336	2175
134	338	2167
135	339	2159
136	341	2151
137	343	2142
138	346	2148
139	348	2143
140	350	2135
141	352	2127
142	353	2118
143	355	2112
144	356	2104
145	358	2097
146	362	2101
147	364	2095
148	365	2087
149	367	2079
150	368	2072
151	371	2070
152	372	2062
153	373	2053
154	375	2046
155	377	2043
156	379	2037
157	382	2039
158	387	2047
159	388	2040
160	392	2044
161	393	2035
162	394	2028
163	396	2020
164	397	2013
165	399	2005
166	400	1998
167	402	1991
168	403	1985
